Iter 1: Val loss 2.247, Val took 4.935s
Iter 10: Train loss 2.416, Learning Rate 1.000e-05, It/sec 3.374, Tokens/sec 875.431, Trained Tokens 2595, Peak mem 5.258 GB
Iter 400: Train loss 1.923, Learning Rate 1.000e-05, It/sec 19.263, Tokens/sec 6526.467, Trained Tokens 126743, Peak mem 16.150 GB
Iter 410: Train loss 1.741, Learning Rate 1.000e-05, It/sec 2.045, Tokens/sec 710.756, Trained Tokens 130219, Peak mem 16.150 GB
Iter 420: Train loss 1.723, Learning Rate 1.000e-05, It/sec 2.236, Tokens/sec 707.978, Trained Tokens 133385, Peak mem 16.150 GB
Iter 430: Train loss 1.651, Learning Rate 1.000e-05, It/sec 3.412, Tokens/sec 651.688, Trained Tokens 135295, Peak mem 16.150 GB
Iter 440: Train loss 1.686, Learning Rate 1.000e-05, It/sec 1.949, Tokens/sec 708.494, Trained Tokens 138930, Peak mem 16.150 GB
Iter 450: Train loss 1.702, Learning Rate 1.000e-05, It/sec 1.756, Tokens/sec 710.647, Trained Tokens 142976, Peak mem 16.150 GB
Iter 460: Train loss 1.818, Learning Rate 1.000e-05, It/sec 2.607, Tokens/sec 715.822, Trained Tokens 145722, Peak mem 16.150 GB
Iter 470: Train loss 1.653, Learning Rate 1.000e-05, It/sec 1.792, Tokens/sec 724.201, Trained Tokens 149764, Peak mem 16.150 GB
Iter 480: Train loss 1.623, Learning Rate 1.000e-05, It/sec 2.255, Tokens/sec 723.294, Trained Tokens 152972, Peak mem 16.150 GB
Iter 490: Train loss 1.763, Learning Rate 1.000e-05, It/sec 3.003, Tokens/sec 661.257, Trained Tokens 155174, Peak mem 16.150 GB
Iter 500: Train loss 1.643, Learning Rate 1.000e-05, It/sec 1.557, Tokens/sec 723.193, Trained Tokens 159820, Peak mem 16.150 GB
Iter 510: Train loss 1.787, Learning Rate 1.000e-05, It/sec 2.172, Tokens/sec 716.773, Trained Tokens 163120, Peak mem 16.150 GB
Iter 520: Train loss 1.905, Learning Rate 1.000e-05, It/sec 2.721, Tokens/sec 678.084, Trained Tokens 165612, Peak mem 16.150 GB
Iter 530: Train loss 1.813, Learning Rate 1.000e-05, It/sec 1.384, Tokens/sec 737.174, Trained Tokens 170940, Peak mem 16.150 GB
Iter 540: Train loss 1.619, Learning Rate 1.000e-05, It/sec 3.283, Tokens/sec 670.066, Trained Tokens 172981, Peak mem 16.150 GB
Iter 550: Train loss 1.694, Learning Rate 1.000e-05, It/sec 2.785, Tokens/sec 691.572, Trained Tokens 175464, Peak mem 16.150 GB
Iter 560: Train loss 1.765, Learning Rate 1.000e-05, It/sec 2.583, Tokens/sec 661.383, Trained Tokens 178025, Peak mem 16.150 GB
Iter 570: Train loss 1.802, Learning Rate 1.000e-05, It/sec 2.476, Tokens/sec 713.719, Trained Tokens 180908, Peak mem 16.150 GB
Iter 580: Train loss 1.698, Learning Rate 1.000e-05, It/sec 2.564, Tokens/sec 696.946, Trained Tokens 183626, Peak mem 16.150 GB
Iter 590: Train loss 1.689, Learning Rate 1.000e-05, It/sec 1.723, Tokens/sec 699.975, Trained Tokens 187688, Peak mem 16.150 GB
Iter 600: Val loss 1.637, Val took 7.010s
Iter 600: Train loss 1.547, Learning Rate 1.000e-05, It/sec 19.317, Tokens/sec 4833.179, Trained Tokens 190190, Peak mem 16.150 GB
